binder_id,target_id,binder,source,A_length,af3_ipSAE_min,af3_ipSAE_max,af3_ipSAE_avg,af3_LIS,af3_iptm_avg,af3_iptm_model_0,af3_ptm_avg,af3_ipae,af3_min_pae_contact,af3_pDockQ_min,af3_pDockQ2_max,RMSD_chA_aft_chB_align_input_af3,RMSD_complex_input_af3,af3_rosetta_interface_dG,af3_rosetta_interface_dG_SASA_ratio,af3_rosetta_interface_dSASA,af3_rosetta_interface_sc,af3_rosetta_interface_packstat,af3_rosetta_surface_hydrophobicity,af3_rosetta_interface_interface_hbonds,input_rosetta_interface_sc,input_rosetta_interface_dG,input_rosetta_interface_dG_SASA_ratio,input_rosetta_interface_dSASA,input_rosetta_interface_packstat,af3_pymol_delta_SASA,af3_pymol_percent_nonpolar,af3_pymol_hbonds,af3_pymol_num_interface_residues
AKAP9_binder_20_dldesign_27_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.668,0.868,0.442,0.735,0.95,0.96,0.95,3.425,0.9,0.432,0.943,1.17,1.4,-75.15,-2.6,2891.14,0.66,0.66,0.27,9.0,0.68,-79.24,-2.57,3078.05,0.66,1684.508,37.333,12.0,75.0
AKAP9_binder_22_renumb_84_dldesign_0_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.529,0.706,0.326,0.601,0.93,0.93,0.94,5.21,1.1,0.392,0.863,1.05,1.16,-63.43,-2.08,3055.45,0.62,0.62,0.4,11.0,0.61,-61.38,-2.13,2875.09,0.62,1708.037,35.897,16.0,78.0
AKAP9_binder_26,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.504,0.725,0.325,0.575,0.93,0.93,0.94,5.046,1.2,0.4,0.822,1.27,2.34,-67.58,-2.24,3015.55,0.61,0.62,0.3,16.0,0.62,-59.9,-2.03,2955.23,0.66,1563.305,40.278,12.0,72.0
AKAP9_binder_30_dldesign_21_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,146.0,0.491,0.735,0.313,0.51,0.93,0.93,0.94,5.921,1.1,0.403,0.815,0.9,1.47,-64.82,-2.11,3075.44,0.64,0.59,0.52,7.0,0.63,-74.33,-2.43,3059.51,0.6,1627.055,50.602,7.0,83.0
EHEE_rd4_0110_min_rise1_21_000000015_0001,VirB8,0,Cao et al VirB8,40.0,0.069,0.086,0.023,0.221,0.5,0.59,0.81,11.438,4.7,0.146,0.099,40.37,24.88,-47.0,-2.79,1683.25,0.64,0.63,0.38,4.0,0.79,-56.78,-4.34,1307.41,0.74,838.399,55.0,2.0,40.0
Grafting_Motif0040_ems_3hM_3083_0001_0002,FGFR2,0,Cao et al FGFR2,62.0,0.014,0.025,0.013,0.116,0.31,0.37,0.64,14.793,25.0,0.062,0.036,24.09,29.68,-37.29,-2.54,1466.21,0.62,0.54,0.11,3.0,0.79,-68.65,-4.0,1715.34,0.72,816.455,42.857,6.0,42.0
Grafting_Motif0042_ems_3hM_148_0001,FGFR2,0,Cao et al FGFR2,61.0,0.015,0.042,0.013,0.13,0.38,0.39,0.66,14.924,7.5,0.178,0.047,18.81,17.57,-39.95,-2.28,1749.27,0.64,0.55,0.17,4.0,0.72,-57.64,-3.64,1585.44,0.71,877.796,52.381,4.0,42.0
Grafting_Motif0042_ems_3hM_1661_0001,FGFR2,0,Cao et al FGFR2,64.0,0.11,0.116,0.062,0.266,0.41,0.51,0.67,10.732,25.0,0.184,0.124,4.3,6.27,-36.85,-2.66,1386.55,0.62,0.63,0.03,2.0,0.72,-69.96,-3.45,2025.95,0.64,852.795,51.282,2.0,39.0
Grafting_Motif0042_ems_3hM_257_0001,FGFR2,0,Cao et al FGFR2,64.0,0.015,0.016,0.014,0.151,0.28,0.3,0.62,15.67,25.0,0.124,0.034,21.8,23.14,-39.41,-2.71,1454.13,0.52,0.61,0.13,3.0,0.73,-64.78,-3.92,1651.73,0.73,818.093,43.182,4.0,44.0
Grafting_Motif0072_ems_4hM_3622_0001_0001_0003,FGFR2,0,Cao et al FGFR2,63.0,0.015,0.015,0.013,0.132,0.29,0.32,0.63,15.091,25.0,0.119,0.024,14.67,10.69,-53.54,-3.15,1698.37,0.71,0.63,0.11,2.0,0.7,-78.92,-3.89,2031.23,0.67,1064.448,53.191,4.0,47.0
Grafting_Motif0253_bcov_4helix_03939_0001,FGFR2,0,Cao et al FGFR2,65.0,0.699,0.708,0.397,0.686,0.87,0.87,0.87,4.848,1.1,0.377,0.712,18.08,21.58,-46.84,-2.6,1800.69,0.76,0.6,0.22,4.0,0.71,-53.87,-3.27,1645.66,0.65,994.388,48.98,2.0,49.0
Grafting_Motif0263_ems_3hC_984_0001,FGFR2,0,Cao et al FGFR2,63.0,0.098,0.128,0.042,0.216,0.4,0.5,0.66,11.099,5.1,0.263,0.092,4.14,5.11,-44.4,-3.05,1454.67,0.73,0.68,0.24,3.0,0.76,-66.06,-3.81,1733.57,0.71,898.138,52.381,2.0,42.0
Grafting_Motif0272_ems_3hM_3297_0001,FGFR2,0,Cao et al FGFR2,62.0,0.019,0.041,0.017,0.227,0.3,0.31,0.63,13.942,5.0,0.102,0.041,2.05,3.17,-45.34,-2.95,1536.43,0.64,0.63,0.07,2.0,0.68,-59.37,-3.43,1731.11,0.72,706.105,51.429,2.0,35.0
Grafting_Motif0324_ems_3hM_2622_0001_0002,FGFR2,0,Cao et al FGFR2,63.0,0.014,0.018,0.012,0.117,0.29,0.3,0.63,14.335,25.0,0.093,0.037,19.56,21.15,-32.92,-2.19,1503.21,0.54,0.52,0.06,0.0,0.68,-64.75,-3.69,1754.51,0.65,806.029,53.659,1.0,41.0
Grafting_Motif0355_bcov_4helix_05147_0001_0002,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.016,0.014,0.166,0.31,0.32,0.62,13.95,25.0,0.061,0.047,21.73,21.6,-31.46,-2.55,1235.4,0.59,0.61,0.13,2.0,0.77,-64.87,-3.55,1828.59,0.68,740.335,50.0,2.0,34.0
Grafting_Motif0388_bcov_4helix_11672_0001_0002,FGFR2,0,Cao et al FGFR2,65.0,0.018,0.064,0.014,0.151,0.41,0.42,0.65,12.821,25.0,0.11,0.045,18.54,21.38,-35.41,-2.51,1411.14,0.64,0.66,0.2,2.0,0.66,-57.47,-3.15,1824.13,0.69,811.154,46.154,1.0,39.0
Grafting_Motif0612_p1_14H_GBL_16H_GABBL_15H_0265_0001_0001_0001_0001_0002,FGFR2,0,Cao et al FGFR2,53.0,0.099,0.131,0.049,0.264,0.43,0.47,0.69,10.65,4.5,0.1,0.129,9.83,10.15,-34.23,-2.85,1201.98,0.69,0.6,0.17,1.0,0.75,-75.89,-3.82,1986.04,0.71,707.078,55.882,1.0,34.0
Grafting_Motif0666_bcov_4helix_01991_0001,FGFR2,0,Cao et al FGFR2,65.0,0.014,0.017,0.012,0.106,0.3,0.31,0.63,15.394,7.8,0.09,0.027,19.03,24.95,-43.94,-2.63,1671.06,0.54,0.59,0.25,6.0,0.68,-61.73,-3.36,1838.22,0.67,900.951,54.167,3.0,48.0
Grafting_Motif0666_bcov_4helix_07438_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.018,0.013,0.117,0.25,0.27,0.59,16.5,25.0,0.049,0.024,20.33,20.56,-38.33,-2.78,1376.73,0.56,0.6,0.2,1.0,0.72,-66.4,-3.36,1977.27,0.68,767.502,52.5,2.0,40.0
Grafting_Motif0713_ems_3hM_2074_0001,FGFR2,0,Cao et al FGFR2,64.0,0.019,0.025,0.014,0.152,0.29,0.34,0.61,14.942,25.0,0.1,0.038,23.75,24.69,-38.46,-2.97,1293.87,0.71,0.63,0.07,2.0,0.71,-64.67,-3.59,1803.57,0.68,723.889,53.846,2.0,39.0
Grafting_Motif1196_HHH_eva_0404_0001_0002,FGFR2,0,Cao et al FGFR2,61.0,0.16,0.17,0.097,0.26,0.51,0.56,0.71,10.132,5.4,0.232,0.125,23.52,17.68,-44.39,-2.52,1758.87,0.7,0.57,0.17,2.0,0.71,-68.42,-3.55,1928.77,0.69,959.842,48.889,4.0,45.0
HEEHE_3366_000000012_0001,FGFR2,0,Cao et al FGFR2,65.0,0.644,0.717,0.345,0.636,0.83,0.84,0.87,5.065,1.1,0.368,0.741,3.23,2.83,-52.12,-3.38,1543.25,0.71,0.67,0.17,1.0,0.7,-73.03,-4.02,1815.57,0.68,771.73,53.659,2.0,41.0
IL7Ra_binder_AF2_10,IL7Ra,0,IL7Ra Watson et al,84.0,0.014,0.019,0.013,0.123,0.45,0.46,0.74,15.591,8.3,0.158,0.062,27.8,36.92,-39.34,-2.4,1639.91,0.49,0.46,0.07,5.0,0.7,-55.87,-3.34,1672.69,0.6,720.977,46.341,3.0,41.0
IL7Ra_binder_AF2_19,IL7Ra,0,IL7Ra Watson et al,74.0,0.483,0.625,0.269,0.503,0.8,0.8,0.87,6.354,1.8,0.186,0.688,2.34,3.94,-44.15,-2.57,1719.57,0.55,0.58,0.1,5.0,0.53,-57.85,-2.87,2012.58,0.53,770.532,39.474,2.0,38.0
IL7Ra_binder_AF2_23,IL7Ra,1,IL7Ra Watson et al,78.0,0.638,0.707,0.37,0.585,0.86,0.86,0.89,5.332,1.2,0.273,0.789,2.06,2.69,-47.46,-3.09,1536.23,0.58,0.5,0.08,7.0,0.65,-49.86,-3.06,1629.14,0.54,844.568,43.59,5.0,39.0
IL7Ra_binder_AF2_5,IL7Ra,0,IL7Ra Watson et al,85.0,0.602,0.654,0.334,0.551,0.84,0.84,0.87,5.93,1.4,0.329,0.77,4.52,4.69,-45.0,-2.78,1620.57,0.62,0.63,0.07,6.0,0.66,-50.77,-2.89,1754.61,0.61,796.235,47.5,5.0,40.0
IL7Ra_binder_AF2_60,IL7Ra,0,IL7Ra Watson et al,65.0,0.495,0.63,0.276,0.539,0.83,0.83,0.88,5.713,1.8,0.302,0.678,1.13,1.84,-37.64,-2.21,1704.12,0.63,0.63,0.15,2.0,0.61,-39.32,-2.4,1635.25,0.52,878.852,48.889,2.0,45.0
IL7Ra_binder_AF2_61,IL7Ra,1,IL7Ra Watson et al,83.0,0.578,0.678,0.357,0.565,0.82,0.82,0.88,5.689,1.5,0.242,0.75,4.11,6.16,-47.92,-2.65,1805.39,0.58,0.61,0.11,11.0,0.59,-50.76,-2.84,1785.23,0.65,926.678,43.75,11.0,48.0
IL7Ra_binder_AF2_81,IL7Ra,0,IL7Ra Watson et al,65.0,0.603,0.702,0.299,0.566,0.87,0.87,0.88,5.828,1.2,0.261,0.806,2.1,2.15,-41.74,-2.5,1669.69,0.61,0.58,0.3,4.0,0.69,-53.68,-3.37,1593.52,0.63,738.156,43.59,5.0,39.0
Insulin_receptor_binder_AF2_16,InsulinR,0,InsulinR Watson et al,89.0,0.606,0.66,0.399,0.607,0.83,0.84,0.9,4.941,1.9,0.317,0.761,1.6,1.4,-45.58,-2.38,1914.55,0.64,0.64,0.13,4.0,0.67,-46.12,-2.44,1893.93,0.57,1001.655,39.216,8.0,51.0
Insulin_receptor_binder_AF2_52,InsulinR,0,InsulinR Watson et al,99.0,0.251,0.273,0.168,0.282,0.55,0.57,0.78,9.15,3.8,0.219,0.286,1.49,1.69,-36.61,-2.31,1587.13,0.51,0.57,0.17,4.0,0.66,-45.39,-2.73,1659.7,0.65,970.45,37.5,9.0,48.0
Insulin_receptor_binder_AF2_59,InsulinR,0,InsulinR Watson et al,63.0,0.489,0.681,0.282,0.583,0.77,0.79,0.86,5.882,1.5,0.111,0.798,7.06,6.2,-41.48,-3.16,1311.56,0.71,0.6,0.22,4.0,0.56,-32.41,-2.22,1457.39,0.59,695.703,51.351,7.0,37.0
Insulin_receptor_binder_AF2_60,InsulinR,1,InsulinR Watson et al,85.0,0.419,0.472,0.27,0.468,0.75,0.75,0.86,7.07,2.4,0.384,0.562,4.28,3.16,-64.4,-2.93,2201.15,0.63,0.57,0.07,9.0,0.78,-65.53,-3.43,1911.12,0.61,1313.835,37.288,6.0,59.0
Insulin_receptor_binder_AF2_71,InsulinR,0,InsulinR Watson et al,87.0,0.61,0.658,0.389,0.607,0.83,0.83,0.89,5.327,1.8,0.364,0.761,2.3,2.32,-48.43,-2.41,2011.74,0.67,0.54,0.15,7.0,0.7,-55.7,-3.17,1758.2,0.65,1085.601,45.283,8.0,53.0
Insulin_receptor_binder_AF2_81,InsulinR,0,InsulinR Watson et al,65.0,0.615,0.781,0.376,0.611,0.85,0.85,0.9,4.992,1.1,0.232,0.804,2.45,2.49,-44.4,-2.97,1495.82,0.69,0.72,0.16,3.0,0.63,-36.69,-2.66,1380.19,0.56,885.706,42.222,9.0,45.0
Insulin_receptor_binder_AF2_88,InsulinR,0,InsulinR Watson et al,85.0,0.458,0.477,0.278,0.482,0.76,0.77,0.85,6.745,2.4,0.27,0.555,1.34,1.99,-60.36,-2.8,2156.68,0.5,0.6,0.09,7.0,0.62,-59.98,-2.83,2121.76,0.56,1223.142,43.333,14.0,60.0
Motif0003_HEEHE_3227_0001_7763_0001,FGFR2,0,Cao et al FGFR2,65.0,0.313,0.353,0.145,0.342,0.6,0.65,0.74,8.756,2.6,0.201,0.239,20.74,18.72,-49.23,-3.22,1527.46,0.64,0.64,0.26,4.0,0.73,-76.24,-4.13,1847.39,0.61,846.434,50.0,2.0,38.0
Motif0004_HEEHE_0874_0001_0001_900_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.028,0.014,0.166,0.34,0.36,0.64,13.922,25.0,0.182,0.04,23.14,16.8,-42.09,-2.38,1768.19,0.6,0.6,0.09,3.0,0.78,-75.48,-4.04,1866.14,0.67,971.438,53.191,4.0,47.0
Motif0005_HEEHE_0687_0001_0002_3617_0001,FGFR2,0,Cao et al FGFR2,65.0,0.591,0.654,0.326,0.604,0.83,0.84,0.86,5.226,1.4,0.44,0.75,4.29,2.46,-54.71,-3.03,1808.15,0.77,0.62,0.1,1.0,0.7,-67.59,-3.34,2022.96,0.67,963.34,53.488,7.0,43.0
Motif0005_HEEHE_1712_0001_0002_6532_0001,FGFR2,0,Cao et al FGFR2,65.0,0.601,0.717,0.336,0.601,0.82,0.82,0.86,5.591,1.0,0.255,0.691,3.82,3.65,-50.02,-3.15,1590.32,0.78,0.64,0.14,2.0,0.8,-61.8,-3.59,1720.33,0.7,772.962,52.5,2.0,40.0
Motif0023_HEEHE_1360_0001_2317_0001,FGFR2,0,Cao et al FGFR2,65.0,0.013,0.015,0.012,0.088,0.24,0.28,0.6,16.776,25.0,0.052,0.032,14.62,9.97,-30.79,-2.76,1113.98,0.65,0.63,0.27,0.0,0.76,-80.07,-3.97,2018.3,0.69,575.814,58.621,0.0,29.0
Motif0041_HEEHE_1936_0001_0001_2858_0001,FGFR2,0,Cao et al FGFR2,65.0,0.014,0.028,0.013,0.12,0.33,0.38,0.65,13.994,25.0,0.095,0.041,15.97,12.24,-44.16,-3.23,1367.53,0.66,0.58,0.29,3.0,0.72,-68.89,-3.58,1921.91,0.6,752.411,57.895,6.0,38.0
Motif0063_ems_3hM_75_0001_7199_0001,FGFR2,0,Cao et al FGFR2,61.0,0.017,0.018,0.014,0.133,0.28,0.32,0.62,15.061,25.0,0.145,0.038,22.49,20.35,-35.83,-2.46,1456.79,0.6,0.7,0.03,4.0,0.76,-61.72,-3.61,1711.04,0.71,872.521,53.488,5.0,43.0
Motif0082_ems_3hM_3092_0001_0001_2399_0001,FGFR2,0,Cao et al FGFR2,63.0,0.015,0.016,0.012,0.101,0.29,0.31,0.62,16.053,25.0,0.133,0.038,26.03,25.66,-37.05,-2.48,1491.46,0.65,0.57,0.12,3.0,0.68,-64.04,-3.66,1747.58,0.64,892.248,58.974,6.0,39.0
Motif0092_bcov_4helix_12405_0001_0001,EGFR,0,Cao et al EGFR,65.0,0.039,0.067,0.014,0.137,0.44,0.44,0.8,13.241,6.1,0.103,0.066,9.6,5.53,-26.06,-1.74,1495.48,0.56,0.64,0.21,2.0,0.69,-52.75,-3.16,1670.94,0.65,807.821,50.0,3.0,44.0
Motif0138_ems_3hM_411_0001_0001,EGFR,0,Cao et al EGFR,62.0,0.07,0.088,0.033,0.154,0.46,0.5,0.82,10.984,25.0,0.199,0.067,5.88,10.17,-32.01,-1.69,1895.77,0.45,0.59,0.04,4.0,0.8,-57.84,-3.38,1710.41,0.67,1079.874,38.0,8.0,50.0
Motif0141_ems_3hM_2999_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,63.0,0.0,0.0,0.0,0.0,0.25,0.28,0.73,20.45,25.0,0.0,0.0,20.44,31.18,-30.43,-1.71,1777.82,0.56,0.62,0.0,3.0,0.7,-59.36,-3.13,1895.11,0.67,1054.972,39.216,9.0,51.0
Motif0158_bcov_4helix_05715_0001_268_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.018,0.014,0.159,0.29,0.3,0.61,15.307,25.0,0.062,0.04,18.97,22.62,-36.62,-2.67,1369.38,0.57,0.63,0.21,0.0,0.79,-63.35,-3.39,1870.34,0.69,732.916,51.282,0.0,39.0
Motif0164_bcov_4helix_00208_0001_0001,EGFR,0,Cao et al EGFR,65.0,0.0,0.0,0.0,0.0,0.17,0.21,0.72,22.487,25.0,0.0,0.0,17.48,22.68,-12.96,-1.71,757.94,0.5,0.58,0.25,2.0,0.69,-62.77,-3.32,1890.24,0.62,472.463,50.0,1.0,24.0
Motif0225_bcov_4helix_07465_0001_0001_338_0001,FGFR2,0,Cao et al FGFR2,65.0,0.012,0.015,0.012,0.08,0.29,0.31,0.63,15.629,25.0,0.099,0.039,20.47,23.59,-21.59,-1.81,1194.75,0.56,0.62,0.22,1.0,0.71,-65.41,-3.94,1661.19,0.7,651.89,47.059,1.0,34.0
Motif0242_HHH_eva_0478_0001_6559_0001,FGFR2,0,Cao et al FGFR2,52.0,0.271,0.404,0.176,0.502,0.69,0.71,0.8,7.097,2.6,0.192,0.615,16.71,18.08,-36.86,-2.98,1236.45,0.64,0.69,0.24,0.0,0.78,-67.09,-3.67,1829.66,0.68,661.819,51.613,2.0,31.0
Motif0364_ems_3hM_1815_0001_0001_0001,EGFR,0,Cao et al EGFR,62.0,0.013,0.016,0.012,0.104,0.27,0.29,0.77,17.545,25.0,0.123,0.029,18.57,23.46,-24.83,-2.04,1217.03,0.72,0.6,0.09,3.0,0.64,-59.07,-3.3,1787.97,0.62,683.338,45.714,2.0,35.0
Motif0524_ems_3hM_2617_0001_0002_0001,EGFR,0,Cao et al EGFR,61.0,0.498,0.716,0.316,0.517,0.82,0.83,0.9,5.554,1.7,0.418,0.63,8.91,10.42,-42.21,-2.53,1668.1,0.69,0.66,0.07,6.0,0.73,-58.81,-3.19,1842.69,0.66,958.946,48.936,7.0,47.0
Motif0563_ems_3hM_1673_0001_0001,EGFR,0,Cao et al EGFR,60.0,0.226,0.377,0.126,0.242,0.63,0.65,0.86,9.114,3.5,0.182,0.357,9.43,12.0,-35.62,-2.35,1514.28,0.68,0.64,0.1,3.0,0.73,-57.35,-3.34,1719.45,0.65,760.629,57.143,2.0,42.0
Motif0573_bcov_4helix_04331_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,65.0,0.0,0.0,0.0,0.0,0.29,0.3,0.73,20.177,25.0,0.0,0.0,16.89,51.92,-34.45,-1.94,1771.48,0.46,0.66,0.28,10.0,0.74,-51.38,-3.03,1696.22,0.68,814.594,32.558,7.0,43.0
Motif0582_ems_3hM_1213_0001_0001_2146_0001,FGFR2,0,Cao et al FGFR2,63.0,0.065,0.111,0.029,0.195,0.38,0.45,0.66,13.037,4.9,0.077,0.116,23.92,22.07,-41.17,-3.39,1213.31,0.76,0.62,0.1,0.0,0.68,-71.83,-3.7,1943.81,0.61,693.86,51.515,1.0,33.0
Motif0612_bcov_4helix_11045_0001_2960_0001,FGFR2,0,Cao et al FGFR2,65.0,0.244,0.264,0.133,0.316,0.58,0.63,0.74,8.529,3.1,0.26,0.254,18.58,21.81,-42.66,-2.89,1475.41,0.63,0.59,0.19,3.0,0.79,-66.15,-3.83,1729.08,0.69,812.752,55.814,4.0,43.0
Motif1004_bcov_4helix_09701_0001_0001_9637_0001,FGFR2,0,Cao et al FGFR2,65.0,0.012,0.013,0.011,0.06,0.2,0.22,0.59,17.587,25.0,0.054,0.019,17.47,14.43,-22.41,-2.45,913.7,0.63,0.54,0.17,2.0,0.79,-68.76,-4.14,1662.53,0.68,551.033,50.0,1.0,32.0
Motif1005_HEEHE_2487_0001_0001_5903_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.038,0.013,0.125,0.35,0.42,0.65,13.798,25.0,0.122,0.043,18.72,17.98,-28.87,-2.28,1265.49,0.55,0.63,0.13,2.0,0.76,-65.22,-3.69,1769.08,0.68,771.095,45.946,0.0,37.0
Motif1005_ems_3hM_1050_0001_0001_1362_0001,FGFR2,1,Cao et al FGFR2,60.0,0.019,0.039,0.016,0.203,0.29,0.32,0.62,14.317,25.0,0.159,0.037,20.38,17.3,-27.91,-1.65,1696.23,0.47,0.65,0.1,1.0,0.77,-71.71,-3.77,1900.36,0.58,963.777,47.917,1.0,48.0
Motif1011_ems_3hM_2393_0001_0001_6766_0001,FGFR2,0,Cao et al FGFR2,62.0,0.017,0.029,0.014,0.178,0.32,0.33,0.63,13.951,6.5,0.066,0.046,22.92,27.71,-42.48,-3.02,1407.6,0.66,0.56,0.2,1.0,0.75,-61.89,-3.64,1698.85,0.64,697.052,60.0,1.0,35.0
Motif1023_ems_3hC_369_0001_0001_2901_0001,FGFR2,0,Cao et al FGFR2,62.0,0.02,0.022,0.016,0.187,0.3,0.33,0.63,13.985,6.0,0.134,0.056,3.7,4.05,-37.1,-2.74,1354.75,0.66,0.56,0.07,2.0,0.77,-65.76,-4.08,1613.41,0.72,693.713,50.0,2.0,38.0
Motif1031_HEEHE_0581_0001_3234_0001,FGFR2,0,Cao et al FGFR2,65.0,0.609,0.691,0.347,0.588,0.83,0.84,0.86,5.765,1.0,0.299,0.794,3.12,3.29,-48.38,-3.69,1309.96,0.75,0.76,0.1,3.0,0.64,-61.65,-3.72,1658.28,0.64,648.452,58.333,1.0,36.0
Motif1031_HEEHE_1173_0001_9065_0001,FGFR2,0,Cao et al FGFR2,65.0,0.135,0.143,0.037,0.202,0.45,0.5,0.69,10.853,25.0,0.114,0.118,22.82,19.3,-30.6,-2.3,1329.49,0.58,0.57,0.18,2.0,0.79,-69.37,-3.91,1776.18,0.72,815.657,48.837,1.0,43.0
Motif1031_HEEHE_3018_0001_2620_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.033,0.014,0.128,0.33,0.34,0.64,15.321,25.0,0.073,0.047,21.0,26.39,-41.74,-3.03,1376.66,0.65,0.67,0.19,1.0,0.75,-73.82,-3.72,1984.54,0.62,702.005,63.636,1.0,33.0
Motif1050_HEEHE_3016_0001_123_0001,FGFR2,0,Cao et al FGFR2,65.0,0.049,0.072,0.02,0.222,0.35,0.4,0.65,12.977,25.0,0.149,0.062,21.63,20.52,-37.92,-2.95,1284.01,0.69,0.64,0.16,3.0,0.75,-69.99,-3.72,1883.53,0.64,781.249,57.895,1.0,38.0
Motif1056_ems_3hC_1321_0002_0001_8084_0001,FGFR2,0,Cao et al FGFR2,63.0,0.016,0.019,0.013,0.121,0.27,0.3,0.62,15.655,25.0,0.082,0.034,17.96,16.99,-23.98,-1.79,1341.44,0.61,0.53,0.18,3.0,0.71,-61.16,-3.5,1747.17,0.62,710.443,51.515,1.0,33.0
